interview_id,brand_name,perception_category,perception_value,sentiment,quote,transcript_id,created_at,brand_id
P1,LiponF,ราคา,ส่วนใหญ่ใช้ Sunlight ค่ะ บางทีก็เปลี่ยนเป็นแบรนด์ที่ลดราคาตามซูเปอร์ใกล้บ้าน อย่างไลปอนเอฟก็เคยลอง,Neutral,ส่วนใหญ่ใช้ Sunlight ค่ะ บางทีก็เปลี่ยนเป็นแบรนด์ที่ลดราคาตามซูเปอร์ใกล้บ้าน อย่างไลปอนเอฟก็เคยลอง,2,2025-12-12T18:58:21.813996,1
P1,LiponF,ราคา,ดูค่ะ จริงๆ ก็จะคุ้นชื่อแค่ไม่กี่แบรนด์ Sunlight กับ LiponF เป็นหลัก รู้สึกว่ามีมาตรฐานกว่าแบรนด์อื่,Positive,ดูค่ะ จริงๆ ก็จะคุ้นชื่อแค่ไม่กี่แบรนด์ Sunlight กับ LiponF เป็นหลัก รู้สึกว่ามีมาตรฐานกว่าแบรนด์อื่นๆ,16,2025-12-12T18:58:21.813996,1
P1,LiponF,คุ้มค่า / ประหยัด,ส่วนใหญ่ใช้ Sunlight ค่ะ บางทีก็เปลี่ยนเป็นแบรนด์ที่ลดราคาตามซูเปอร์ใกล้บ้าน อย่างไลปอนเอฟก็เคยลอง,Positive,ส่วนใหญ่ใช้ Sunlight ค่ะ บางทีก็เปลี่ยนเป็นแบรนด์ที่ลดราคาตามซูเปอร์ใกล้บ้าน อย่างไลปอนเอฟก็เคยลอง,2,2025-12-12T18:58:21.813996,1
P1,LiponF,คุ้มค่า / ประหยัด,Sunlight จะเห็นบ่อยกว่า เหมือนภาพลักษณ์ดูสดใส น่าใช้ ส่วน LiponF ไม่ค่อยเห็นโฆษณาเลย แต่รู้ว่าเป็นแบ,Positive,Sunlight จะเห็นบ่อยกว่า เหมือนภาพลักษณ์ดูสดใส น่าใช้ ส่วน LiponF ไม่ค่อยเห็นโฆษณาเลย แต่รู้ว่าเป็นแบรนด์เก่าแก่,20,2025-12-12T18:58:21.813996,1
P1,LiponF,กลิ่นหอม,Sunlight กลิ่นมันสดชื่นดีค่ะ รู้สึกสะอาด ส่วนไลปอนเอฟมันล้างมันออกง่ายจริง แต่กลิ่นแรงไปนิด,Mixed,Sunlight กลิ่นมันสดชื่นดีค่ะ รู้สึกสะอาด ส่วนไลปอนเอฟมันล้างมันออกง่ายจริง แต่กลิ่นแรงไปนิด,4,2025-12-12T18:58:21.813996,1
P1,LiponF,กลิ่นหอม,Sunlight = หอม สดชื่น ใช้ง่าย LiponF = เข้มข้น ล้างคราบดี แต่ดูบ้านๆ นิดนึง,Mixed,Sunlight = หอม สดชื่น ใช้ง่าย LiponF = เข้มข้น ล้างคราบดี แต่ดูบ้านๆ นิดนึง,22,2025-12-12T18:58:21.813996,1
P1,LiponF,ขจัดคราบมัน,Sunlight กลิ่นมันสดชื่นดีค่ะ รู้สึกสะอาด ส่วนไลปอนเอฟมันล้างมันออกง่ายจริง แต่กลิ่นแรงไปนิด,Mixed,Sunlight กลิ่นมันสดชื่นดีค่ะ รู้สึกสะอาด ส่วนไลปอนเอฟมันล้างมันออกง่ายจริง แต่กลิ่นแรงไปนิด,4,2025-12-12T18:58:21.813996,1
P1,LiponF,ขจัดคราบมัน,Sunlight = หอม สดชื่น ใช้ง่าย LiponF = เข้มข้น ล้างคราบดี แต่ดูบ้านๆ นิดนึง,Mixed,Sunlight = หอม สดชื่น ใช้ง่าย LiponF = เข้มข้น ล้างคราบดี แต่ดูบ้านๆ นิดนึง,22,2025-12-12T18:58:21.813996,1
P1,LiponF,ล้างออกง่าย,Sunlight กลิ่นมันสดชื่นดีค่ะ รู้สึกสะอาด ส่วนไลปอนเอฟมันล้างมันออกง่ายจริง แต่กลิ่นแรงไปนิด,Mixed,Sunlight กลิ่นมันสดชื่นดีค่ะ รู้สึกสะอาด ส่วนไลปอนเอฟมันล้างมันออกง่ายจริง แต่กลิ่นแรงไปนิด,4,2025-12-12T18:58:21.813996,1
P1,LiponF,มาตรฐาน,ดูค่ะ จริงๆ ก็จะคุ้นชื่อแค่ไม่กี่แบรนด์ Sunlight กับ LiponF เป็นหลัก รู้สึกว่ามีมาตรฐานกว่าแบรนด์อื่,Positive,ดูค่ะ จริงๆ ก็จะคุ้นชื่อแค่ไม่กี่แบรนด์ Sunlight กับ LiponF เป็นหลัก รู้สึกว่ามีมาตรฐานกว่าแบรนด์อื่นๆ,16,2025-12-12T18:58:21.813996,1
