interview_id,description_th,description_en,role,age,gender,environment,usage_pattern,key_drivers,constraints,income_level,education_level,household_size,created_at
P1,พนักงานออฟฟิศหญิง อายุ 29 ปี อาศัยอยู่คอนโด ทำอาหารเองเป็นบางครั้ง ชอบความหอมและความง่ายในการล้าง,,Female Office Worker,29,,Condo,Cooks occasionally,Likes pleasant scent and ease of rinsing,,,,,2025-12-12T18:50:42.171822
P2,หญิง อายุ 36 ปี มีลูกวัย 2 ขวบ อยู่บ้านดูแลครอบครัว ทำอาหารทุกวัน,,Full-time Mom / Housewife,36,,Has a 2-year-old child,"Stay-at-home, cooks every day","Product safety, 'Gentle' labels, No chemical residue",,,,,2025-12-12T18:50:42.174478
P3,ชายอายุ 42 ปี ทำงานบริษัทเอกชน มีลูก 1 คน ล้างจานหลังอาหารเย็นเป็นกิจวัตร,,Working Dad / Private Company Employee,42,,Has 1 child,Washes dishes after dinner daily,"Buys in bulk (Makro), prioritizes concentration and cost-effectiveness",,,,,2025-12-12T18:50:42.174478
P4,นักศึกษาหญิง อายุ 21 ปี เรียนปี 3 มหาวิทยาลัยในกรุงเทพ อยู่หอพักกับเพื่อนอีก 1 คน ล้างจานหลังทำอาหารง่าย ๆ,,University Student,21,,Dormitory with 1 roommate,Simple cooking,"Buys at 7-11 for convenience or Shopee for bulk/price; Good scent, pump bottle (space-saving), student-friendly price",,,,,2025-12-12T18:50:42.175493
P5,หญิงวัย 27 ปี ทำงานด้านครีเอทีฟออฟฟิศในกรุงเทพ ชอบผลิตภัณฑ์แนว sustainable ใช้ชีวิตมินิมอล ล้างจานทุกวันหลังทำอาหารง่าย ๆ,,Creative Office Worker,27,,Bangkok,"Minimalist, Sustainable living; Cooks simple meals, washes dishes daily",Prioritizes eco-friendly ingredients (No SLS/Paraben) and recyclable packaging,,,,,2025-12-12T18:50:42.176496
P6,ชายอายุ 38 ปี เจ้าของร้านอาหารตามสั่ง มีพนักงาน 2 คน ต้องล้างจานวันละหลายสิบชุด,,Restaurant Owner (Made-to-order food),38,,Small business with 2 employees,High usage (dozens of dish sets daily),"Cost per unit, Concentration, Grease removal power; Bulk purchasing (Gallons/Cartons)",,,,,2025-12-12T18:50:42.176496
P7,หญิงอายุ 33 ปี ทำงานเป็นแม่บ้านในโรงแรม รับผิดชอบล้างภาชนะและแก้วในครัวพนักงาน ล้างวันละหลายรอบ ต้องเน้นความสะอาดและความเงางาม,,Hotel Maid,33,,Staff kitchen and dishwashing,Multiple times daily,"Shine, no grease residue (especially on wine glasses), speed",,,,,2025-12-12T18:50:42.177493
P8,หญิงอายุ 61 ปี เกษียณแล้ว อยู่บ้านต่างจังหวัด ทำกับข้าวทุกวัน ชอบความสะอาดและกลิ่นหอมของภาชนะ,,Retired Mom,61,,Upcountry/Provincial,Cooks daily,"Scent (fresh/clean), Gentleness (aging hands), Familiarity/Trust",,,,,2025-12-12T18:50:42.178504
P9,ชายอายุ 32 ปี ทำงานสายครีเอทีฟ อยู่คอนโดคนเดียว ทำอาหารง่าย ๆ และล้างเองทุกมื้อ,,Creative Worker / Minimalist,32,,Condo (Alone),"Creative, Simple cooking, Washes every meal","Design (packaging), Scent (clean/natural), Function (low foam)",,,,,2025-12-12T18:50:42.178504
P10,ชายอายุ 45 ปี ทำงานออฟฟิศ อยู่กับภรรยาและลูกสาว 2 คน ชอบทำอาหารเย็นเอง และล้างจานพร้อมลูกหลังมื้ออาหาร,,Family Dad / Office Worker,45,,"Married, 2 daughters","Cooks dinner, washes dishes with children","Family bonding, pleasant atmosphere (scent), safety for kids",,,,,2025-12-12T18:50:42.179502
P11,ชายอายุ 50 ปี อาศัยอยู่ต่างจังหวัด ทำงานรับจ้างทั่วไป ภรรยาทำอาหารขายหน้าบ้าน ล้างจานทุกวันหลังร้านปิด,,General Laborer (Upcountry),50,,Wife sells food (Pad Thai) at home,Heavy (washes after shop closes),"Value (Gallons/Bulk), Promotions, Grease removal",,,,,2025-12-12T18:50:42.179502
P12,ชาย อายุ 40 ปี เจ้าของบริษัท SME ด้านดีไซน์ มีพนักงาน 15 คน มีครัวเล็กในออฟฟิศสำหรับอุ่นอาหารและล้างแก้วกาแฟ,,SME Owner (Design Firm),40,,"15 Employees; Office kitchen (coffee cups, lunch)",,"Cleanliness, Professional Image, Scent (not lingering), Pump bottles",,,,,2025-12-12T18:50:42.179502
P13,หญิงอายุ 28 ปี ทำงานเป็นคอนเทนต์ครีเอเตอร์ด้านไลฟ์สไตล์และบ้านมินิมอล ทำคลิปรีวิวของใช้ในครัว ใช้โทนขาวสะอาดเรียบง่าย,,Content Creator / Influencer,28,,Minimalist Home & Lifestyle,Sunlight (Natural/Lemon) or Japanese brands,"Aesthetic packaging (white/yellow tones), Natural/Sustainable concept",,,,,2025-12-12T18:50:42.181084
P14,นักศึกษาชาย อายุ 24 ปี เรียนปริญญาโทที่ออสเตรเลีย อยู่หอพักกับเพื่อนต่างชาติ 4 คน มีครัวรวม ล้างจานร่วมกัน,,International Student (Australia),24,,Shared dorm with 4 international friends,Shared purchasing/usage,"Universal scent (lemon), Medium size bottle, High rinsability (due to water pressure)",,,,,2025-12-12T18:50:42.181588
P15,หญิงอายุ 34 ปี พนักงานออฟฟิศที่ชอบทำอาหารเย็นเอง มีอาการแพ้น้ำยาล้างจานบางสูตร มือแห้งและคันง่าย,,Office Worker / Sensitive Skin User,34,,,Cooks dinner daily,"Gentle ingredients (Aloe vera, Vitamin E), No SLS/Alcohol",Contact dermatitis (allergic to harsh chemicals),,,,2025-12-12T18:50:42.182647
P16,หญิงอายุ 30 ปี ลาคลอดอยู่บ้านกับลูกวัย 6 เดือน ล้างขวดนมและภาชนะทุกวัน วันละหลายรอบ,,New Mom (Maternity Leave),30,,Has a 6-month-old baby,Washes baby bottles and dishes multiple times daily,"Food-grade, Baby-safe, No chemical residue, Dermatologist tested",,,,,2025-12-12T18:50:42.183160
P17,หญิง อายุ 37 ปี ทำงานเป็นแม่บ้านคอนโดที่ให้เช่ารายวัน มีหน้าที่ทำความสะอาดห้อง รวมถึงล้างภาชนะหลังแขกเช็คเอาท์ทุกวัน,,Daily Rental Condo Maid,37,,,Cleaning rooms and washing dishes after guests; 20-30 sets on busy days,"Speed, Cost-effectiveness (Gallon size), Grease removal",,,,,2025-12-12T18:50:42.183670
P18,หญิง อายุ 44 ปี ขายข้าวเหนียวหมูปิ้ง อยู่ตลาดตอนเช้า เริ่มเตรียมของตี 4 ต้องล้างอุปกรณ์หม้อกระทะ หลังขายเสร็จทุกวัน,,Market Vendor (Grilled Pork),44,,,"Starts 4 AM, washes heavy grease equipment after sales","Heavy duty degreasing, Bulk value, Low foam (to save water)","Limited water pressure at market, Time-sensitive",,,,2025-12-12T18:50:42.183670
P19,หญิงอายุ 38 ปี ทำงานสายแฟชั่นออฟฟิศย่านทองหล่อ อยู่คอนโดหรู ทำอาหารเล็กน้อยแต่ชอบของใช้พรีเมียม กลิ่นหอม สะอาด และดูดีในครัว,,Fashion Industry Professional,38,,Luxury Condo (Thong Lor),Cooking lightly,"Premium aesthetics, Sophisticated scents (Citrus/Herbal), Minimalist design",,,,,2025-12-12T18:50:42.184677
P20,หญิง อายุ 42 ปี เป็นครู ดูแลนักเรียนประจำระดับ มัธยมต้น อยู่หอใน ต้องช่วยแม่บ้านล้างจาน ชาม และถาดอาหารนักเรียนวันละหลายรอบ,,Boarding School Teacher,42,,School dormitory / Cafeteria,Washing student trays/dishes,"Child safety (no residue), Gentleness (for staff/self), Cost-effective",,,,,2025-12-12T18:50:42.185675
P21,ชาย อายุ 29 ปี ทำงานเป็นไรเดอร์ส่งอาหาร ล้างกล่องอาหาร ขวดน้ำ และภาชนะส่วนตัวทุกคืนหลังกลับบ้าน,,Food Delivery Rider,29,,,Washes delivery gear and personal items nightly,"Speed, Fresh scent (lemon/bergamot) for relaxation, Convenience","Greasy containers, Exhaustion",,,,2025-12-12T18:50:42.185675
P22,หญิงอายุ 21 ปี นักศึกษามหาวิทยาลัย ปี 3 อยู่หอพักในเมือง ล้างจานวันละ 1–2 ครั้ง หลังทำอาหารหรือเครื่องดื่มเอง,,University Student,21,,Urban Dormitory,,"Relaxing/Fresh scent (Lavender/Green Tea), Compact size, Low foam",Small sink/Limited space,,,,2025-12-12T18:50:42.186675
P23,หญิงอายุ 67 ปี อยู่บ้านคนเดียว ล้างจานหลังอาหารทุกมื้อ มีอาการข้ออักเสบบ้าง มือแห้งง่าย และไม่ชอบกลิ่นแรง ๆ,,Elderly living alone,67,,,,"Easy to squeeze bottle, Non-slip texture, Mild scent, Safety/Trust","Arthritis, Dry hands",,,,2025-12-12T18:50:42.186675
P24,ชายอายุ 35 ปี เจ้าของร้านคาเฟ่และเชฟหลักของร้าน มีพนักงาน 3 คน ล้างจานเองบางวัน โดยเฉพาะตอนเย็น,,Cafe Owner / Chef,35,,Small Cafe with Open Kitchen,High daily usage,"Grease removal, No residual scent (affects coffee aroma), Store image (packaging)",,,,,2025-12-12T18:50:42.186675
P25,ชายอายุ 33 ปี นักวิจัยในมหาวิทยาลัยสายเคมีสิ่งแวดล้อม ต้องล้างอุปกรณ์ทดลอง เช่น บีกเกอร์ ขวดแก้ว และกล่องใส่อาหารกลางวันของตัวเองทุกวัน,,Lab Researcher / Chemist,33,,Lab equipment & Personal lunch box,Industrial (Lab) / Sunlight (Home),"Zero chemical residue, Scent-free/Clean scent, Rinsability",,,,,2025-12-12T18:50:42.188179
