segment_id,segment_name_th,segment_name_en,key_focus,description,created_at
1,คนทำงานออฟฟิศอยู่คอนโด,,เน้นความสะดวกและกลิ่นสะอาด,,2025-12-12T18:56:17.715465
2,แม่บ้านที่มีลูกเล็ก,,เน้นปลอดภัยและอ่อนโยน,,2025-12-12T18:58:21.821649
3,พ่อบ้านวัยทำงาน,,เน้นคุ้มค่าและประสิทธิภาพ,,2025-12-12T18:59:58.760817
4,นักศึกษาหอพัก,,เน้นราคาคุ้มและใช้ง่าย,,2025-12-12T19:01:54.014524
5,สายรักษ์โลก,,เน้นธรรมชาติและจิตสำนึกสิ่งแวดล้อม,,2025-12-12T19:03:49.248578
6,เจ้าของร้านอาหาร,,เน้นประสิทธิภาพและต้นทุน,,2025-12-12T19:05:34.002819
7,พนักงานแม่บ้านโรงแรม,,เน้นความเร็ว เงางาม และปลอดภัย,,2025-12-12T19:07:28.535579
8,คุณแม่วัยเกษียณ,,เน้นกลิ่นหอม อ่อนโยน และคุ้นเคย,,2025-12-12T19:09:41.157900
9,คนทำงานสายมินิมอล,,เน้นดีไซน์ ฟังก์ชัน และความรู้สึกสะอาด,,2025-12-12T19:11:13.778452
10,คุณพ่อวัยกลางคน,,ล้างจานคือเวลาครอบครัว,,2025-12-12T19:12:40.825889
11,ชาวบ้านต่างจังหวัด,,เน้นประหยัดและใช้ง่าย,,2025-12-12T19:13:57.702363
12,เจ้าของออฟฟิศ,,เน้นความสะอาด มาตรฐาน และภาพลักษณ์องค์กร,,2025-12-12T19:15:14.937831
13,อินฟลูเอนเซอร์สายบ้านมินิมอล,,เลือกของเพราะสไตล์และคุณค่า,,2025-12-12T19:16:44.176021
14,นักศึกษาต่างประเทศ,,เรียบง่าย ไม่แรง และต้องแชร์ได้,,2025-12-12T19:18:00.722942
15,ผู้หญิงผิวแพ้ง่าย,,ล้างจานทุกวันแต่ต้องอ่อนโยนกับมือ,,2025-12-12T19:19:22.032121
16,คุณแม่มือใหม่,,ต้องมั่นใจว่าสะอาดและปลอดภัยต่อลูก,,2025-12-12T19:20:45.904495
17,พนักงานคอนโดรายวัน,,ต้องล้างไว สะอาด และคุ้มค่า,,2025-12-12T19:21:53.413583
18,แม่ค้าตลาดเช้า,,ล้างมันไว ไม่เปลือง พร้อมขายรอบต่อไป,,2025-12-12T19:23:15.194005
19,คนอยู่คอนโดหรู,,เน้นกลิ่นดี ดีไซน์สวย และความรู้สึกพรีเมียม,,2025-12-12T19:24:43.426647
20,ครูโรงเรียนประจำ,,ล้างจานให้นักเรียน สะอาด ปลอดภัย ไม่ระคายมือ,,2025-12-12T19:25:42.149170
21,คนขับ Food Delivery,,ล้างไว ไม่เหนียว กลิ่นหอมช่วยผ่อนคลาย,,2025-12-12T19:26:49.015458
22,นักศึกษาหอหญิง,,ล้างจานในอ่างเล็ก ชอบกลิ่นหอมผ่อนคลาย,,2025-12-12T19:28:06.963128
23,ผู้สูงอายุอยู่บ้านคนเดียว,,ใช้ง่าย ปลอดภัย ไม่ลื่น ไม่มีกลิ่นแรง,,2025-12-12T19:29:26.182394
24,เชฟคาเฟ่เล็ก ๆ,,เน้นคุณภาพ ประสิทธิภาพ และภาพลักษณ์ร้าน,,2025-12-12T19:30:59.363954
25,นักวิจัยในห้องแล็บ,,ล้างสะอาด ปลอดภัย ต้องไม่เหลือสารตกค้าง,,2025-12-12T19:32:45.666260
